GENDER	POVRTY	RACE	KINDER1	FMOTOR	GMOTOR	SCONTROL	INTERP	EXTERN	INTERN	GENERAL	MATH7	MOM_ED
2	2	1	1	4	8	3.25	3	1.4	2	26	1.29	6
1	2	1	1	7	8	3.75	3.8	1	1.25	33	2.08	6
2	2	1	1	8	7	3.5	3	1	2.5	31	1.94	6
2	2	4	1	8	6	4	3.6	1	1.5	34	1.59	7
2	2	1	1	9	8	4	3.5	1	1.25	23	2.18	6
1	2	1	1	9	6	3.67	3.4	1.4	1.33	35	1.88	5
1	2	4	1	8	6	4	3.75	1.2	1	26	1.99	8
1	2	1	1	8	6	4	4	1.2	1.5	31	2.01	6
1	2	1	2	5	8	4	3.75	1.2	1.5	25	1.55	3
2	2	1	1	8	8	4	4	1	1.5	30	2.03	5
2	2	1	1	4	8	4	3.8	1	1	25	1.33	5
1	2	1	1	7	7	4	3.75	1	1.25	36	2.55	5
1	2	1	1	7	8	4	4	1	1	31	2.38	8
1	2	1	1	4	8	4	3.5	1	1.25	30	2.05	8
1	1	3	2	6	8	3	3	2	1.5	17	1.72	3
1	2	2	2	7	8	3.25	3.2	1.8	1	16	1.21	2
1	2	1	1	4	4	3.67	3.25	2.2	1	30	1.72	6
2	2	1	1	6	8	4	3.4	1.4	1	34	2.06	3
2	2	1	1	8	8	4	3.6	1	1.5	28	1.32	6
2	2	1	1	6	8	3	2.4	1.4	2	28	1.27	7
2	2	1	1	7	7	3	3	1	1.25	24	2.12	5
1	2	1	1	8	8	2.5	3	2	1.5	19	1.63	4
1	2	1	1	6	6	2.25	2.4	2	1.25	27	1.33	4
2	2	1	1	5	8	2.75	3	1.6	2.25	24	1.51	5
2	2	1	1	7	8	3	3	1	2	34	1.64	6
1	2	1	1	7	6	2.75	2.8	2	1.5	20	1.63	2
1	2	1	1	8	8	3	3	1.2	1.25	17	1.04	3
2	2	4	1	5	5	3.5	2.6	1	1.5	25	2.02	3
2	1	1	1	4	2	2.75	2.2	1.8	2.75	11	0.62	2
1	2	1	1	1	3	2.5	2.4	1.8	2	31	1.6	5
1	2	1	1	5	5	3.5	3	1	1.75	26	1.75	6
2	2	1	1	5	3	3.25	2.8	1.6	1	25	1.5	5
2	2	1	1	9	6	3.25	3.2	1	3	23	1.79	3
2	2	1	1	7	7	3.25	3.8	1	2.25	21	1.7	5
1	2	1	1	7	8	3.5	3	1	1.5	37	1.85	3
2	2	1	1	7	8	3.25	2.8	1.6	1	26	1.82	6
2	2	1	1	7	5	3.25	2.6	1	1	30	1.83	3
2	2	1	1	7	7	4	3.6	1	1	32	1.79	5
2	2	1	1	4	8	3	2.2	1.4	1	25	1.79	5
2	1	1	1	6	8	3	2.8	1	3	30	1.65	5
2	2	1	1	9	5	2	2.6	2	2.5	31	1.71	5
1	2	1	1	8	4	2.5	2.6	1.4	3	27	1.85	8
1	2	1	1	9	7	2.5	2.4	2	1.25	33	1.39	3
2	2	1	1	6	6	3	3	1.2	2	21	1.34	5
1	2	1	1	6	3	3.5	3.2	1	1.75	30	1.43	5
2	2	1	1	7	6	3	2.8	1.6	1.5	31	1.56	5
1	2	1	2	9	6	3	3	1.8	1.5	30	1.03	6
1	2	1	1	0	5	3.67	3.75	1.4	1.25	35	1.52	6
2	2	1	1	6	4	3.75	3.4	1	1.75	28	1.24	5
2	2	1	1	7	7	3.75	3	1	1	36	1.25	6
1	2	1	1	5	6	3.5	3	1	1.25	34	1.81	6
1	2	1	1	4	8	3.25	3.2	1.6	1.5	35	1.51	6
1	2	1	1	3	7	2.75	2.4	1.8	1.75	19	0.7	3
1	2	1	1	2	6	3.5	2.8	1	1	31	1.42	3
2	2	1	1	6	7	4	4	1	1.25	31	0.85	3
